priority,image_id,relative_path,ornament_label,candidate_object_group_id,review_reasons,review_status,reviewer_notes
1,img_2f5f53a11d7668fc,dataset_dev/01_opishnyan_ceramics/o060.jpeg,01_opishnyan_ceramics,candidate_3d1d7f279c71eaa9,cross_split_duplicate_candidate;confirm_object_group;assign_object_type;review_motif_visibility;record_provenance;record_license,pending,
1,img_4c7d5a51f9d49830,dataset_dev/01_opishnyan_ceramics/o126.jpg,01_opishnyan_ceramics,candidate_7352d0c3579e60dd,cross_split_duplicate_candidate;confirm_object_group;assign_object_type;review_motif_visibility;record_provenance;record_license,pending,
1,img_2c599cfb010f963b,dataset_dev/01_opishnyan_ceramics/o225_1.jpg,01_opishnyan_ceramics,candidate_ffebebbed063d9bf,cross_split_duplicate_candidate;confirm_object_group;assign_object_type;review_motif_visibility;record_provenance;record_license,pending,
1,img_d1a50795c5b311a4,dataset_dev/01_opishnyan_ceramics/o225_2.jpg,01_opishnyan_ceramics,candidate_ffebebbed063d9bf,cross_split_duplicate_candidate;confirm_object_group;assign_object_type;review_motif_visibility;record_provenance;record_license,pending,
1,img_c931c12f2e45482d,dataset_dev/01_opishnyan_ceramics/o225_3.jpg,01_opishnyan_ceramics,candidate_ffebebbed063d9bf,cross_split_duplicate_candidate;confirm_object_group;assign_object_type;review_motif_visibility;record_provenance;record_license,pending,
1,img_231063c0263d19b6,dataset_dev/01_opishnyan_ceramics/o225_5.jpg,01_opishnyan_ceramics,candidate_ffebebbed063d9bf,cross_split_duplicate_candidate;confirm_object_group;assign_object_type;review_motif_visibility;record_provenance;record_license,pending,
1,img_bf147c3ff80cd443,dataset_dev/01_opishnyan_ceramics/o226_2.jpg,01_opishnyan_ceramics,candidate_1407d083657a7c3e,cross_split_duplicate_candidate;confirm_object_group;assign_object_type;review_motif_visibility;record_provenance;record_license,pending,
1,img_a6995488d921d013,dataset_dev/01_opishnyan_ceramics/o226_3.jpg,01_opishnyan_ceramics,candidate_1407d083657a7c3e,cross_split_duplicate_candidate;confirm_object_group;assign_object_type;review_motif_visibility;record_provenance;record_license,pending,
1,img_aa242586187f5fbe,dataset_dev/01_opishnyan_ceramics/o285.jpeg,01_opishnyan_ceramics,candidate_1f84534e3461322d,cross_split_duplicate_candidate;confirm_object_group;assign_object_type;review_motif_visibility;record_provenance;record_license,pending,
1,img_e132ab402eaccd43,dataset_dev/01_opishnyan_ceramics/o287_3.jpg,01_opishnyan_ceramics,candidate_8fa5762260949e5a,cross_split_duplicate_candidate;confirm_object_group;assign_object_type;review_motif_visibility;record_provenance;record_license,pending,
1,img_b40d7077a7e1b17e,dataset_dev/01_opishnyan_ceramics/o326.jpg,01_opishnyan_ceramics,candidate_24d684d178dc4b00,cross_split_duplicate_candidate;confirm_object_group;assign_object_type;review_motif_visibility;record_provenance;record_license,pending,
1,img_687dd299f91f92e1,dataset_dev/01_opishnyan_ceramics/o341.jpg,01_opishnyan_ceramics,candidate_420ffdb9ae2481c3,cross_split_duplicate_candidate;confirm_object_group;assign_object_type;review_motif_visibility;record_provenance;record_license,pending,
1,img_3d5a083a410bb93f,dataset_dev/01_opishnyan_ceramics/o364_1.jpg,01_opishnyan_ceramics,candidate_7913d1d0d4c6c1be,cross_split_duplicate_candidate;confirm_object_group;assign_object_type;review_motif_visibility;record_provenance;record_license,pending,
1,img_e19d78d4fc7d3ac9,dataset_dev/01_opishnyan_ceramics/o364_2.jpg,01_opishnyan_ceramics,candidate_7913d1d0d4c6c1be,cross_split_duplicate_candidate;confirm_object_group;assign_object_type;review_motif_visibility;record_provenance;record_license,pending,
1,img_83e46fcfccac2ad7,dataset_dev/01_opishnyan_ceramics/o367_1.jpg,01_opishnyan_ceramics,candidate_ada644db4dceed48,cross_split_duplicate_candidate;confirm_object_group;assign_object_type;review_motif_visibility;record_provenance;record_license,pending,
1,img_36d65aaf0d977a07,dataset_dev/01_opishnyan_ceramics/o369_1.jpg,01_opishnyan_ceramics,candidate_7913d1d0d4c6c1be,cross_split_duplicate_candidate;confirm_object_group;assign_object_type;review_motif_visibility;record_provenance;record_license,pending,
1,img_34cff7c7984e47c1,dataset_dev/01_opishnyan_ceramics/o369_2.jpg,01_opishnyan_ceramics,candidate_7913d1d0d4c6c1be,cross_split_duplicate_candidate;confirm_object_group;assign_object_type;review_motif_visibility;record_provenance;record_license,pending,
