left_image_id,right_image_id,left_path,right_path,left_split,right_split,left_label,right_label,same_split,same_label,candidate_reasons,dhash_distance,ahash_distance,aspect_ratio_delta,filename_family
img_0073e7843cacc5ea,img_28c1918ca97d1115,dataset_test/01_opishnyan_ceramics/o235_2.jpg,dataset_test/01_opishnyan_ceramics/o235_4.jpg,dataset_test,dataset_test,01_opishnyan_ceramics,01_opishnyan_ceramics,True,True,filename_family,,,,01_opishnyan_ceramics/o235
img_0073e7843cacc5ea,img_32a414b9e34e09e4,dataset_test/01_opishnyan_ceramics/o235_2.jpg,dataset_test/01_opishnyan_ceramics/o235_3.jpg,dataset_test,dataset_test,01_opishnyan_ceramics,01_opishnyan_ceramics,True,True,filename_family,,,,01_opishnyan_ceramics/o235
img_0073e7843cacc5ea,img_b7e0b2ede17d36e7,dataset_test/01_opishnyan_ceramics/o235_2.jpg,dataset_test/01_opishnyan_ceramics/o235_1.jpg,dataset_test,dataset_test,01_opishnyan_ceramics,01_opishnyan_ceramics,True,True,filename_family,,,,01_opishnyan_ceramics/o235
img_0073e7843cacc5ea,img_caa40d4251d63e80,dataset_test/01_opishnyan_ceramics/o235_2.jpg,dataset_test/01_opishnyan_ceramics/o235_5.jpg,dataset_test,dataset_test,01_opishnyan_ceramics,01_opishnyan_ceramics,True,True,filename_family,,,,01_opishnyan_ceramics/o235
img_009dc1f3ecc3edce,img_4e624a80186723dd,dataset_dev/01_opishnyan_ceramics/o263_3.jpg,dataset_dev/01_opishnyan_ceramics/o263_1.jpg,dataset_dev,dataset_dev,01_opishnyan_ceramics,01_opishnyan_ceramics,True,True,filename_family,,,,01_opishnyan_ceramics/o263
img_009dc1f3ecc3edce,img_9ef03e8749bf03cf,dataset_dev/01_opishnyan_ceramics/o263_3.jpg,dataset_dev/01_opishnyan_ceramics/o263_2.jpg,dataset_dev,dataset_dev,01_opishnyan_ceramics,01_opishnyan_ceramics,True,True,filename_family,,,,01_opishnyan_ceramics/o263
img_00a178921d2d9ac8,img_ddc67032f41ea357,dataset_dev/05_kosiv_ceramics/k272.jpg,dataset_dev/05_kosiv_ceramics/k032.jpg,dataset_dev,dataset_dev,05_kosiv_ceramics,05_kosiv_ceramics,True,True,perceptual_review,0,0,0.0,
img_0108d3ca73ddaba5,img_184565012f5c7981,dataset_dev/01_opishnyan_ceramics/o243_8.jpg,dataset_dev/01_opishnyan_ceramics/o243_7.jpg,dataset_dev,dataset_dev,01_opishnyan_ceramics,01_opishnyan_ceramics,True,True,filename_family,,,,01_opishnyan_ceramics/o243
img_0108d3ca73ddaba5,img_2ec1a27617fae637,dataset_dev/01_opishnyan_ceramics/o243_8.jpg,dataset_dev/01_opishnyan_ceramics/o243_9.jpg,dataset_dev,dataset_dev,01_opishnyan_ceramics,01_opishnyan_ceramics,True,True,filename_family,,,,01_opishnyan_ceramics/o243
img_0108d3ca73ddaba5,img_663ec2166ae0dfba,dataset_dev/01_opishnyan_ceramics/o243_8.jpg,dataset_dev/01_opishnyan_ceramics/o243_5.jpg,dataset_dev,dataset_dev,01_opishnyan_ceramics,01_opishnyan_ceramics,True,True,filename_family,,,,01_opishnyan_ceramics/o243
img_0108d3ca73ddaba5,img_8089ced9edc75267,dataset_dev/01_opishnyan_ceramics/o243_8.jpg,dataset_dev/01_opishnyan_ceramics/o243_1.jpg,dataset_dev,dataset_dev,01_opishnyan_ceramics,01_opishnyan_ceramics,True,True,filename_family,,,,01_opishnyan_ceramics/o243
img_0108d3ca73ddaba5,img_b084220fc3fbdd26,dataset_dev/01_opishnyan_ceramics/o243_8.jpg,dataset_dev/01_opishnyan_ceramics/o243_3.jpg,dataset_dev,dataset_dev,01_opishnyan_ceramics,01_opishnyan_ceramics,True,True,filename_family,,,,01_opishnyan_ceramics/o243
img_0108d3ca73ddaba5,img_bd929df3fe7d5fbd,dataset_dev/01_opishnyan_ceramics/o243_8.jpg,dataset_dev/01_opishnyan_ceramics/o243_2.jpg,dataset_dev,dataset_dev,01_opishnyan_ceramics,01_opishnyan_ceramics,True,True,filename_family,,,,01_opishnyan_ceramics/o243
img_0108d3ca73ddaba5,img_d382e6f75f0a4dd9,dataset_dev/01_opishnyan_ceramics/o243_8.jpg,dataset_dev/01_opishnyan_ceramics/o243_4.jpg,dataset_dev,dataset_dev,01_opishnyan_ceramics,01_opishnyan_ceramics,True,True,filename_family,,,,01_opishnyan_ceramics/o243
img_0108d3ca73ddaba5,img_da84406d4e652347,dataset_dev/01_opishnyan_ceramics/o243_8.jpg,dataset_dev/01_opishnyan_ceramics/o243_6.jpg,dataset_dev,dataset_dev,01_opishnyan_ceramics,01_opishnyan_ceramics,True,True,filename_family,,,,01_opishnyan_ceramics/o243
