image_id,relative_path,ornament_label,old_split,file_name,content_sha256,width,height,quality_flags,candidate_object_group_id,manual_review_status,confirmed_object_group_id,confirmed_source_group_id,presemantic_split_group_id,semantic_split_group_id,global_source_cohort_id,source_atomic_cohort_ids,pre_source_cohort_split_group_id,source_atomic_split_group_id,split_group_id,semantic_review_component_ids,semantic_review_decision,semantic_merge_component_ids,semantic_merge_group_ids,semantic_merge_relationships,semantic_similarity_audit_fingerprint_sha256,semantic_adjudication_file_sha256,global_source_inventory_projection_fingerprint_sha256,global_source_cohort_file_sha256,object_type,motif_visibility,label_status,training_use,inclusion_status,exclusion_reason,production_split,cv_fold,split_version,split_seed
img_db1291f981873646,dataset_dev/01_opishnyan_ceramics/o065.jpg,01_opishnyan_ceramics,dataset_dev,o065.jpg,71717277ac3ea2dd2e82852362b1d72096797eac2cfdd0466b4207f82254811d,1200,1600,ok,candidate_914ca28f02955341,not_required_singleton,obj_single_db1291f981873646,,obj_single_db1291f981873646,obj_single_db1291f981873646,,,obj_single_db1291f981873646,obj_single_db1291f981873646,obj_single_db1291f981873646,,,,,,9cdaaa669450148bc93e3f7e7eb0172c77cca98a5c78e3e4ba68b6ef18fbf748,dc3a312bb0716260a3bbb0f04d20cc90aa9e1e144d3bac7288ab2123d8fed338,bc90b6022b2f8bb6183e7d6f9cb73ab1908900077c70ad5ca4ea9355b01c81aa,01476014ee037c7a8fbdf5ea9d1c7f8649b6472b9adf476d7b8296df8392a550,unreviewed,unreviewed,provided_folder_label,keep_primary,included,,train,4,step02_source_atomic_v3,20260719
img_27a4af8334229eeb,dataset_dev/01_opishnyan_ceramics/o066.jpg,01_opishnyan_ceramics,dataset_dev,o066.jpg,2f597ade98074c36143fa7d6ab9d972b7f3deb4258bcedbd5e0e84d560ff7dc8,1600,1200,ok,candidate_d266a96228a245b8,not_required_singleton,obj_single_27a4af8334229eeb,,obj_single_27a4af8334229eeb,obj_single_27a4af8334229eeb,,,obj_single_27a4af8334229eeb,obj_single_27a4af8334229eeb,obj_single_27a4af8334229eeb,,,,,,9cdaaa669450148bc93e3f7e7eb0172c77cca98a5c78e3e4ba68b6ef18fbf748,dc3a312bb0716260a3bbb0f04d20cc90aa9e1e144d3bac7288ab2123d8fed338,bc90b6022b2f8bb6183e7d6f9cb73ab1908900077c70ad5ca4ea9355b01c81aa,01476014ee037c7a8fbdf5ea9d1c7f8649b6472b9adf476d7b8296df8392a550,unreviewed,unreviewed,provided_folder_label,keep_primary,included,,train,1,step02_source_atomic_v3,20260719
img_79fd0a23766a0896,dataset_dev/01_opishnyan_ceramics/o067.jpg,01_opishnyan_ceramics,dataset_dev,o067.jpg,a7d9728d85d47af8601b28a892bf3bb8ac3a5f6f0612889592751944f4375ab0,301,268,ok,candidate_429f0ab6e66bece5,not_required_singleton,obj_single_79fd0a23766a0896,,obj_single_79fd0a23766a0896,obj_single_79fd0a23766a0896,,,obj_single_79fd0a23766a0896,obj_single_79fd0a23766a0896,obj_single_79fd0a23766a0896,,,,,,9cdaaa669450148bc93e3f7e7eb0172c77cca98a5c78e3e4ba68b6ef18fbf748,dc3a312bb0716260a3bbb0f04d20cc90aa9e1e144d3bac7288ab2123d8fed338,bc90b6022b2f8bb6183e7d6f9cb73ab1908900077c70ad5ca4ea9355b01c81aa,01476014ee037c7a8fbdf5ea9d1c7f8649b6472b9adf476d7b8296df8392a550,unreviewed,unreviewed,provided_folder_label,keep_primary,included,,train,4,step02_source_atomic_v3,20260719
img_cf3ec0065848b378,dataset_dev/01_opishnyan_ceramics/o070.jpg,01_opishnyan_ceramics,dataset_dev,o070.jpg,e9b081b6b3f0daa58c841dba1da457fab15732656af5f6ed88ae3178b722aa2d,4096,4096,ok,candidate_8b0c3bfc2e26d130,not_required_singleton,obj_single_cf3ec0065848b378,,obj_single_cf3ec0065848b378,obj_single_cf3ec0065848b378,,,obj_single_cf3ec0065848b378,obj_single_cf3ec0065848b378,obj_single_cf3ec0065848b378,,,,,,9cdaaa669450148bc93e3f7e7eb0172c77cca98a5c78e3e4ba68b6ef18fbf748,dc3a312bb0716260a3bbb0f04d20cc90aa9e1e144d3bac7288ab2123d8fed338,bc90b6022b2f8bb6183e7d6f9cb73ab1908900077c70ad5ca4ea9355b01c81aa,01476014ee037c7a8fbdf5ea9d1c7f8649b6472b9adf476d7b8296df8392a550,unreviewed,unreviewed,provided_folder_label,keep_primary,included,,train,4,step02_source_atomic_v3,20260719
img_3f867edb13f6d9e7,dataset_dev/01_opishnyan_ceramics/o072.jpg,01_opishnyan_ceramics,dataset_dev,o072.jpg,e0f392e25de6528ef96351d3ee8743b97d60deae73375971e4bd24d89911c99c,2733,4096,ok,candidate_f2031b6f9244bed2,not_required_singleton,obj_single_3f867edb13f6d9e7,,obj_single_3f867edb13f6d9e7,obj_single_3f867edb13f6d9e7,,,obj_single_3f867edb13f6d9e7,obj_single_3f867edb13f6d9e7,obj_single_3f867edb13f6d9e7,,,,,,9cdaaa669450148bc93e3f7e7eb0172c77cca98a5c78e3e4ba68b6ef18fbf748,dc3a312bb0716260a3bbb0f04d20cc90aa9e1e144d3bac7288ab2123d8fed338,bc90b6022b2f8bb6183e7d6f9cb73ab1908900077c70ad5ca4ea9355b01c81aa,01476014ee037c7a8fbdf5ea9d1c7f8649b6472b9adf476d7b8296df8392a550,unreviewed,unreviewed,provided_folder_label,keep_primary,included,,train,4,step02_source_atomic_v3,20260719
img_e42e9a248f42aeff,dataset_dev/01_opishnyan_ceramics/o076.jpg,01_opishnyan_ceramics,dataset_dev,o076.jpg,e3f8547c71d92e6da44522f315737a2292d61d7d4b9ade25ac01d61c4b6ca8bb,1693,1269,ok,candidate_b73e1ce4cfd24585,not_required_singleton,obj_single_e42e9a248f42aeff,,obj_single_e42e9a248f42aeff,obj_single_e42e9a248f42aeff,,,obj_single_e42e9a248f42aeff,obj_single_e42e9a248f42aeff,obj_single_e42e9a248f42aeff,,,,,,9cdaaa669450148bc93e3f7e7eb0172c77cca98a5c78e3e4ba68b6ef18fbf748,dc3a312bb0716260a3bbb0f04d20cc90aa9e1e144d3bac7288ab2123d8fed338,bc90b6022b2f8bb6183e7d6f9cb73ab1908900077c70ad5ca4ea9355b01c81aa,01476014ee037c7a8fbdf5ea9d1c7f8649b6472b9adf476d7b8296df8392a550,unreviewed,unreviewed,provided_folder_label,keep_primary,included,,train,4,step02_source_atomic_v3,20260719
img_20daf377d66f3fa1,dataset_dev/01_opishnyan_ceramics/o077.jpg,01_opishnyan_ceramics,dataset_dev,o077.jpg,ecfe0a7ed551f3a3809097dc8df48cf601ebf9803cd6dbfb43d73d5c8537a6db,1152,768,ok,candidate_ab4b7de3eec4487f,not_required_singleton,obj_single_20daf377d66f3fa1,,obj_single_20daf377d66f3fa1,obj_single_20daf377d66f3fa1,,,obj_single_20daf377d66f3fa1,obj_single_20daf377d66f3fa1,obj_single_20daf377d66f3fa1,,,,,,9cdaaa669450148bc93e3f7e7eb0172c77cca98a5c78e3e4ba68b6ef18fbf748,dc3a312bb0716260a3bbb0f04d20cc90aa9e1e144d3bac7288ab2123d8fed338,bc90b6022b2f8bb6183e7d6f9cb73ab1908900077c70ad5ca4ea9355b01c81aa,01476014ee037c7a8fbdf5ea9d1c7f8649b6472b9adf476d7b8296df8392a550,unreviewed,unreviewed,provided_folder_label,keep_primary,included,,train,4,step02_source_atomic_v3,20260719
img_55d9ff12510acae5,dataset_dev/01_opishnyan_ceramics/o079.jpg,01_opishnyan_ceramics,dataset_dev,o079.jpg,d62057cc63deb0132ae0b077e388df24a4c6f8d014e18bb6919eb04767c63361,512,768,ok,candidate_4871344e876c0078,not_required_singleton,obj_single_55d9ff12510acae5,,obj_single_55d9ff12510acae5,obj_single_55d9ff12510acae5,,,obj_single_55d9ff12510acae5,obj_single_55d9ff12510acae5,obj_single_55d9ff12510acae5,,,,,,9cdaaa669450148bc93e3f7e7eb0172c77cca98a5c78e3e4ba68b6ef18fbf748,dc3a312bb0716260a3bbb0f04d20cc90aa9e1e144d3bac7288ab2123d8fed338,bc90b6022b2f8bb6183e7d6f9cb73ab1908900077c70ad5ca4ea9355b01c81aa,01476014ee037c7a8fbdf5ea9d1c7f8649b6472b9adf476d7b8296df8392a550,unreviewed,unreviewed,provided_folder_label,keep_primary,included,,train,1,step02_source_atomic_v3,20260719
img_9f4dd9669496c0fc,dataset_dev/01_opishnyan_ceramics/o080.jpg,01_opishnyan_ceramics,dataset_dev,o080.jpg,d93894f4b35256cb15f452834fc95d445ef18178612e265304e704be0fe93df9,512,768,ok,candidate_24d3151c791c8960,complete,obj_manual_037,src_manual_037,src_manual_037,src_manual_037,,,src_manual_037,src_manual_037,src_manual_037,,,,,,9cdaaa669450148bc93e3f7e7eb0172c77cca98a5c78e3e4ba68b6ef18fbf748,dc3a312bb0716260a3bbb0f04d20cc90aa9e1e144d3bac7288ab2123d8fed338,bc90b6022b2f8bb6183e7d6f9cb73ab1908900077c70ad5ca4ea9355b01c81aa,01476014ee037c7a8fbdf5ea9d1c7f8649b6472b9adf476d7b8296df8392a550,figurine_or_sculpture,clear,correct,keep_primary,included,,train,4,step02_source_atomic_v3,20260719
img_bc67051e8211bbac,dataset_dev/01_opishnyan_ceramics/o094.jpg,01_opishnyan_ceramics,dataset_dev,o094.jpg,9329eb7b9a656e111f432a30759eb700620539222be1be36314d17927c11bc17,600,900,ok,candidate_a600958d9924dcc4,not_required_singleton,obj_single_bc67051e8211bbac,,obj_single_bc67051e8211bbac,obj_single_bc67051e8211bbac,src_global_opn_museum_display_logo,src_global_opn_museum_display_logo,obj_single_bc67051e8211bbac,srcgrp_4816dd56c8688495,srcgrp_4816dd56c8688495,,,,,,9cdaaa669450148bc93e3f7e7eb0172c77cca98a5c78e3e4ba68b6ef18fbf748,dc3a312bb0716260a3bbb0f04d20cc90aa9e1e144d3bac7288ab2123d8fed338,bc90b6022b2f8bb6183e7d6f9cb73ab1908900077c70ad5ca4ea9355b01c81aa,01476014ee037c7a8fbdf5ea9d1c7f8649b6472b9adf476d7b8296df8392a550,unreviewed,unreviewed,provided_folder_label,keep_primary,included,,train,2,step02_source_atomic_v3,20260719
