cohort_id,cohort_size,ornament_label,relationship,image_id,relative_path,file_name,source_rule,semantic_split_group_id,current_production_split,current_cv_fold,evidence,notes
src_global_bub_blue_fair_table,10,03_bubnivka_ceramics,same_acquisition_source,img_09d93f9a5484ef08,dataset_dev/03_bubnivka_ceramics/b315.jpg,b315.jpg,first filename integer 308-317,obj_single_09d93f9a5484ef08,train,3,"One outdoor vendor sequence uses the same vivid blue tablecloth, daylight, camera viewpoint, and display arrangement.",Distinct wares are treated as one acquisition session; object identity is not asserted.
src_global_bub_blue_fair_table,10,03_bubnivka_ceramics,same_acquisition_source,img_0d4befbe46ae4b67,dataset_dev/03_bubnivka_ceramics/b314.jpg,b314.jpg,first filename integer 308-317,obj_single_0d4befbe46ae4b67,train,3,"One outdoor vendor sequence uses the same vivid blue tablecloth, daylight, camera viewpoint, and display arrangement.",Distinct wares are treated as one acquisition session; object identity is not asserted.
src_global_bub_blue_fair_table,10,03_bubnivka_ceramics,same_acquisition_source,img_15d44c05af9c3818,dataset_dev/03_bubnivka_ceramics/b317.jpg,b317.jpg,first filename integer 308-317,obj_single_15d44c05af9c3818,train,3,"One outdoor vendor sequence uses the same vivid blue tablecloth, daylight, camera viewpoint, and display arrangement.",Distinct wares are treated as one acquisition session; object identity is not asserted.
src_global_bub_blue_fair_table,10,03_bubnivka_ceramics,same_acquisition_source,img_37d37aabd7d1709f,dataset_dev/03_bubnivka_ceramics/b316.jpg,b316.jpg,first filename integer 308-317,obj_single_37d37aabd7d1709f,train,3,"One outdoor vendor sequence uses the same vivid blue tablecloth, daylight, camera viewpoint, and display arrangement.",Distinct wares are treated as one acquisition session; object identity is not asserted.
src_global_bub_blue_fair_table,10,03_bubnivka_ceramics,same_acquisition_source,img_45d1de0d3a1dd253,dataset_dev/03_bubnivka_ceramics/b312.jpg,b312.jpg,first filename integer 308-317,obj_single_45d1de0d3a1dd253,train,3,"One outdoor vendor sequence uses the same vivid blue tablecloth, daylight, camera viewpoint, and display arrangement.",Distinct wares are treated as one acquisition session; object identity is not asserted.
src_global_bub_blue_fair_table,10,03_bubnivka_ceramics,same_acquisition_source,img_475836cf0ae16d6a,dataset_dev/03_bubnivka_ceramics/b308.jpg,b308.jpg,first filename integer 308-317,obj_single_475836cf0ae16d6a,train,3,"One outdoor vendor sequence uses the same vivid blue tablecloth, daylight, camera viewpoint, and display arrangement.",Distinct wares are treated as one acquisition session; object identity is not asserted.
src_global_bub_blue_fair_table,10,03_bubnivka_ceramics,same_acquisition_source,img_8db25b7ad8735709,dataset_dev/03_bubnivka_ceramics/b313.jpg,b313.jpg,first filename integer 308-317,obj_single_8db25b7ad8735709,train,3,"One outdoor vendor sequence uses the same vivid blue tablecloth, daylight, camera viewpoint, and display arrangement.",Distinct wares are treated as one acquisition session; object identity is not asserted.
src_global_bub_blue_fair_table,10,03_bubnivka_ceramics,same_acquisition_source,img_bbb940ad1ce14fac,dataset_dev/03_bubnivka_ceramics/b309.jpg,b309.jpg,first filename integer 308-317,obj_single_bbb940ad1ce14fac,train,3,"One outdoor vendor sequence uses the same vivid blue tablecloth, daylight, camera viewpoint, and display arrangement.",Distinct wares are treated as one acquisition session; object identity is not asserted.
src_global_bub_blue_fair_table,10,03_bubnivka_ceramics,same_acquisition_source,img_c7e32682d476e923,dataset_test/03_bubnivka_ceramics/b310.jpg,b310.jpg,first filename integer 308-317,obj_single_c7e32682d476e923,train,3,"One outdoor vendor sequence uses the same vivid blue tablecloth, daylight, camera viewpoint, and display arrangement.",Distinct wares are treated as one acquisition session; object identity is not asserted.
src_global_bub_blue_fair_table,10,03_bubnivka_ceramics,same_acquisition_source,img_d94a449e9900ca0b,dataset_dev/03_bubnivka_ceramics/b311.jpg,b311.jpg,first filename integer 308-317,obj_single_d94a449e9900ca0b,train,3,"One outdoor vendor sequence uses the same vivid blue tablecloth, daylight, camera viewpoint, and display arrangement.",Distinct wares are treated as one acquisition session; object identity is not asserted.
src_global_bub_dark_cloth_closeups,13,03_bubnivka_ceramics,same_acquisition_source,img_0095bea433d45455,dataset_test/03_bubnivka_ceramics/b304.jpg,b304.jpg,first filename integer 294-307,obj_single_0095bea433d45455,validation,2,"A contiguous close-up sequence shares the same dark patterned support, lighting, crop style, and camera rendering.",Some records may also be related views; this cohort conservatively captures their common acquisition source.
src_global_bub_dark_cloth_closeups,13,03_bubnivka_ceramics,same_acquisition_source,img_0f314014e178659a,dataset_dev/03_bubnivka_ceramics/b298.jpg,b298.jpg,first filename integer 294-307,obj_single_0f314014e178659a,validation,2,"A contiguous close-up sequence shares the same dark patterned support, lighting, crop style, and camera rendering.",Some records may also be related views; this cohort conservatively captures their common acquisition source.
src_global_bub_dark_cloth_closeups,13,03_bubnivka_ceramics,same_acquisition_source,img_19ad82ae22d01c3b,dataset_dev/03_bubnivka_ceramics/b307.jpg,b307.jpg,first filename integer 294-307,obj_single_19ad82ae22d01c3b,validation,2,"A contiguous close-up sequence shares the same dark patterned support, lighting, crop style, and camera rendering.",Some records may also be related views; this cohort conservatively captures their common acquisition source.
src_global_bub_dark_cloth_closeups,13,03_bubnivka_ceramics,same_acquisition_source,img_4caba2215c35da80,dataset_test/03_bubnivka_ceramics/b301.jpg,b301.jpg,first filename integer 294-307,obj_single_4caba2215c35da80,validation,2,"A contiguous close-up sequence shares the same dark patterned support, lighting, crop style, and camera rendering.",Some records may also be related views; this cohort conservatively captures their common acquisition source.
src_global_bub_dark_cloth_closeups,13,03_bubnivka_ceramics,same_acquisition_source,img_5aa3296bc5410d0f,dataset_dev/03_bubnivka_ceramics/b302.jpg,b302.jpg,first filename integer 294-307,obj_single_5aa3296bc5410d0f,validation,2,"A contiguous close-up sequence shares the same dark patterned support, lighting, crop style, and camera rendering.",Some records may also be related views; this cohort conservatively captures their common acquisition source.
src_global_bub_dark_cloth_closeups,13,03_bubnivka_ceramics,same_acquisition_source,img_6e1d011f044980e9,dataset_test/03_bubnivka_ceramics/b295.jpg,b295.jpg,first filename integer 294-307,obj_single_6e1d011f044980e9,validation,2,"A contiguous close-up sequence shares the same dark patterned support, lighting, crop style, and camera rendering.",Some records may also be related views; this cohort conservatively captures their common acquisition source.
src_global_bub_dark_cloth_closeups,13,03_bubnivka_ceramics,same_acquisition_source,img_81bf7176fed4af37,dataset_dev/03_bubnivka_ceramics/b300.jpg,b300.jpg,first filename integer 294-307,obj_single_81bf7176fed4af37,validation,2,"A contiguous close-up sequence shares the same dark patterned support, lighting, crop style, and camera rendering.",Some records may also be related views; this cohort conservatively captures their common acquisition source.
src_global_bub_dark_cloth_closeups,13,03_bubnivka_ceramics,same_acquisition_source,img_be25fc833f4b7ebb,dataset_test/03_bubnivka_ceramics/b297.jpg,b297.jpg,first filename integer 294-307,obj_single_be25fc833f4b7ebb,validation,2,"A contiguous close-up sequence shares the same dark patterned support, lighting, crop style, and camera rendering.",Some records may also be related views; this cohort conservatively captures their common acquisition source.
src_global_bub_dark_cloth_closeups,13,03_bubnivka_ceramics,same_acquisition_source,img_cd0419751b8992bc,dataset_test/03_bubnivka_ceramics/b305.jpg,b305.jpg,first filename integer 294-307,obj_single_cd0419751b8992bc,validation,2,"A contiguous close-up sequence shares the same dark patterned support, lighting, crop style, and camera rendering.",Some records may also be related views; this cohort conservatively captures their common acquisition source.
src_global_bub_dark_cloth_closeups,13,03_bubnivka_ceramics,same_acquisition_source,img_cf8f39fc8e4eb741,dataset_dev/03_bubnivka_ceramics/b306.jpg,b306.jpg,first filename integer 294-307,obj_single_cf8f39fc8e4eb741,validation,2,"A contiguous close-up sequence shares the same dark patterned support, lighting, crop style, and camera rendering.",Some records may also be related views; this cohort conservatively captures their common acquisition source.
